Title,Issuer,Date,User
Machine Learning Explainability,Kaggle,Issued Mar 2023,keroleselkess43
Advanced SQL,Kaggle,Issued Jul 2022,keroleselkess43
Introduction to SQL,DataCamp,Issued Jun 2022,keroleselkess43
Neural Networks and Deep Learning,Coursera,Issued Oct 2019,khaled-amgad-21040a200
Web Design,Issued Jan 2014,,khaled-mahmoud22
ICDL,Issued Jan 2011,,khaled-mahmoud22
Advanced Algorithms and Complexity,Coursera,Issued Aug 2021,khaled-mansour-22a914184
Delivery Problem,Coursera,Issued May 2021,khaled-mansour-22a914184
Introduction to Discrete Mathematics for Computer Science specialization,Coursera,Issued May 2021,khaled-mansour-22a914184
C (Intermediate) Certificate,HackerRank,,khaled-mohamed-gamal-47723b151
C++ (Basic) Certificate,HackerRank,,khaled-mohamed-gamal-47723b151
Problem Solving (Intermediate) Certificate,HackerRank,,khaled-mohamed-gamal-47723b151
AWS Certified Machine Learning – Specialty,Amazon Web Services (AWS),Issued Oct 2021 · Expires Oct 2024,khaled-sobhy-6b174b131
Probability Math Certification,Cairo University,Issued May 2018,khaledsabry97
Engineering Practices for Building Quality Software,University of Minnesota,Issued Aug 2020,khalidhsoliman
Big Picture: Unity VR Development,Pluralsight,Issued Apr 2020,khalidhsoliman
C# Scripting in Unity: Beyond the Basics,Pluralsight,Issued Apr 2020,khalidhsoliman
AWS Certified Developer - Associate,Amazon Web Services (AWS),Issued Dec 2022 · Expires Dec 2025,khalidzeiter
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Oct 2022 · Expires Oct 2025,khalidzeiter
Performance Test,Software Quality Academy,Issued Jul 2021,kirollos-georges-63b34b97
Test Automation,Software Quality Academy,Issued Jul 2021,kirollos-georges-63b34b97
Web Development Challenger Track,Udacity,Issued Mar 2021,kirollos-georges-63b34b97
PostgreSQL for Everybody Specialization,Coursera,Issued Oct 2022,kirollos-n
JSON and Natural Language Processing in PostgreSQL,Coursera,Issued Mar 2022,kirollos-n
Designing RESTful APIs,LinkedIn,Issued Sep 2021,kirollos-n
User Experience Design,Edraak إدراك,Issued Feb 2022,komtcho
Node (Basic) Certificate,HackerRank,Issued Jul 2021,komtcho
Agile Scrum Framework For Project Management,almentor,Issued Dec 2019,komtcho
Certificate of completion - Power BI,365 Data Science,Issued Nov 2022,leena-essam-368279162
Fundamentals of Deep Learning,NVIDIA,Issued Jul 2022,leena-essam-368279162
VMware Certified Professional - Data Center Virtualization 2023 (VCP-DCV),VMware,Issued Mar 2023,leena-morsi-48a390144
Associate - Information Storage and Management Version 3.0,Dell EMC,Issued Apr 2019,leena-morsi-48a390144
Microsoft Certified Solution Developer (MCSD),CLS Learning Solutions,Issued Oct 2019,louees-nabil-944468100
Information Technology Institute,Ministry of Communications and Information Technology (MCIT),Issued Jun 2014,louees-nabil-944468100
Microsoft Certified: Azure Administrator Associate,Microsoft,Issued Oct 2022 · Expires Oct 2023,louees-nabil-944468100
Convolutional Neural Networks,Coursera,Issued Apr 2020,m-elsaeed
Deep Learning Specialization,Coursera,Issued Apr 2020,m-elsaeed
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,Issued Apr 2020,m-elsaeed
Deep Learning Specialization,Coursera,Issued Apr 2020,m-okashaa
Machine Learning,Coursera,Issued Jul 2019,m-okashaa
Computer Vision Nanodegree,Udacity,,m-okashaa
Learning Java,Lynda.com,Issued Apr 2020,maged-mo
Unit Testing for iOS Developers,Lynda.com,Issued Jan 2020,maged-mo
Intro to UX design,Edraak إدراك,,maged-mo
Convolutional Neural Networks,Coursera,Issued Oct 2020,maged-rifaat
Neural Networks and Deep Learning,Coursera,Issued Oct 2020,maged-rifaat
Advanced Web development Nanodegree,Udacity,Issued Sep 2020,maged-rifaat
C# Object-Oriented Programming Tips and Tricks,LinkedIn,Issued Dec 2021,mahamed-yehia-a9497213b
Beginner's Guide to C#,LinkedIn,Issued Jul 2021 · Expired Aug 2021,mahamed-yehia-a9497213b
Jira Fundamentals Badge,Atlassian,Issued Jun 2022,mahmoud-abdelmalek
Certified Web Developer,Udacity,Issued Feb 2022,mahmoud-abdelmalek
Certified Data Analyst,Udacity,Issued Sep 2021,mahmoud-abdelmalek
Ceritificate Web Application Penetration Tester,Udemy,Issued Jul 2019,mahmoud-adel-mansour
Red Hat Enterprise Linux Technical,Udemy,Issued Jun 2018,mahmoud-adel-mansour
CCNA,Cisco Academy Egypt,Issued Aug 2010 · Expired Aug 2013,mahmoud-biltagy
Master CI/CD for iOS Developers,Udemy,Issued Jun 2022,mahmoud-diab-ios
iOS Architecture Design Patterns,Information Technology Institute (ITI),Issued Apr 2022,mahmoud-diab-ios
Agile at Work: Building Your Agile Team,LinkedIn,Issued Apr 2021,mahmoud-diab-ios
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,Issued Sep 2019,mahmoud-elzeiny-44ba4917a
Neural Networks and Deep Learning,Coursera,Issued Sep 2019,mahmoud-elzeiny-44ba4917a
Machine Learning,Coursera,Issued Sep 2019,mahmoud-elzeiny-44ba4917a
Creating powerful API's with Django Rest Framework on Heroku,Udemy,,mahmoud-esmail
Android Development: Building Battery-Conscious Apps,LinkedIn,Issued May 2019,mahmoud-hawas
Android Development: Concurrent Programming,LinkedIn,Issued May 2019,mahmoud-hawas
Building a Game App with the Android SDK,LinkedIn,Issued May 2019,mahmoud-hawas
Development of Real-Time Systems,Coursera,Issued Mar 2022,mahmoud-magdy-ayoub
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,Coursera,Issued Nov 2020,mahmoud-magdy-ayoub
Introduction to the Internet of Things and Embedded Systems,Coursera,Issued Sep 2020,mahmoud-magdy-ayoub
AlgoExpert,AlgoExpert,Issued Oct 2022,mahmoud-moawad-5a32a5100
Algorithms Specialization,Coursera,Issued Dec 2021,mahmoud-moawad-5a32a5100
Problem Solving (Basic),HackerRank,Issued Feb 2021,mahmoud-moawad-5a32a5100
IBM Certified Technical Associate - Algo Credit Manager v5.3,IBM,Issued Oct 2019,mahmoud-mohasseb-9b8b514
IBM Certified Specialist - Algo One Fundamentals,IBM,Issued Jun 2016,mahmoud-mohasseb-9b8b514
Scrum Fundamentals Certified (SFC),SCRUMstudy - Accreditation Body for Scrum and Agile,Issued Jul 2014,mahmoud-mohasseb-9b8b514
"EMC Academic Associate, Cloud Infrastructure and Services",Dell EMC,Issued May 2016,mahmoud-salah-2b0235101
GraphQL &amp; Apollo with Android - From Novice to Expert,Udemy,Issued Apr 2023,mahmoud-shawky
Learning GraphQL,LinkedIn,Issued Mar 2023,mahmoud-shawky
Burp Suite Essential Training,LinkedIn,Issued Feb 2022,mahmoud-shawky
Mern stack certificate,Information Technology Institute (ITI),Issued May 2021,mahmoud-yehia-512991b9
React Certification,Udemy,Issued Dec 2020,mahmoud-yehia-512991b9
udacity cloud developer nanodegree,Udacity,Issued May 2020,mahmoud-yehia-512991b9
Grokking the System Design Interview,"Educative, Inc.",Issued Aug 2021,mahmoud-youssef97
Advanced SQL for Query Tuning and Performance Optimization,LinkedIn,Issued Feb 2021,mahmoud-youssef97
Apache Flink: Batch Mode Data Engineering,LinkedIn,Issued Feb 2021,mahmoud-youssef97
AWS Certified Solutions Architect – Associate,Amazon Web Services (AWS),Issued Nov 2022,mahmoudabdulfatah
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Dec 2021,mahmoudabdulfatah
AWS Academy Graduate - AWS Academy Cloud Foundations,Amazon Web Services (AWS),Issued Sep 2021,mahmoudabdulfatah
Advanced C#: Thread-Safe Data with Concurrent Collections,LinkedIn,Issued Nov 2022,mahmoudihefny
ASP.NET Core: Test-Driven Development,LinkedIn,Issued Oct 2022,mahmoudihefny
Advanced Web APIs with ASP.NET Core in .NET 6,LinkedIn,Issued Sep 2022,mahmoudihefny
Advanced Cloud DevOps,Udacity,Issued Nov 2022,mahmoudkkandil
CyberTalents Introduction to Cybersecurity Bootcamp,Trend Micro,Issued Sep 2022,mahmoudkkandil
"Natural Language Processing Course Competition - Sentence to Sentence Semantic Similarity (1st Place), Issued by Dr. Sally Saad","Faculty of Computer and Information Sciences, Ain Shams University",Issued Jun 2022,mahmoudkkandil
Sensor Fusion,Udacity,Issued Oct 2021,mahmoudsabra1
Deep Learning,Coursera,Issued Feb 2021,mahmoudsabra1
Machine Learning,Coursera,Issued Aug 2020,mahmoudsabra1
The algorithmic tool box,Coursera,Issued Sep 2020,mai-elshiashi
Machine Learning,Coursera,Issued Dec 2017,mai-elshiashi
CS50x (introduction to computer science),edX,Credential ID 54484264e9c84219b279eff917b84ac1,mai-elshiashi
Designing Wireframes,Uxcel,Issued Oct 2021,mai-mohamed-sadek-0783b436
Professional Scrum Master I (PSM I),Scrum.org,Issued Sep 2020,mai-mohamed-sadek-0783b436
React: Ecosystems,LinkedIn,Issued Jan 2020,majidzeno
React: Server-Side Rendering,LinkedIn,Issued Jan 2020,majidzeno
React: Building Large Apps,LinkedIn,Issued Dec 2019,majidzeno
AWS Certified Cloud Practitioner 2020,A Cloud Guru | A Pluralsight Company,Issued Jan 2022,manssorr
AWS Certified Solutions Architect Associate (SAA-C02),A Cloud Guru | A Pluralsight Company,Issued Jan 2022,manssorr
The Complete Node.js Developer,Udemy,Issued Jan 2022,manssorr
Artificial Intelligence Analyst 2020 - Mastery Award,IBM,Issued Oct 2020,maram-hesham-49a4a5183
Big Data Developer - Explorer Award for Students 2017,IBM,Issued Jun 2017,marammohammad
"Graph Search, Shortest Paths, and Data Structures",Coursera,Issued Oct 2020,mariam-awad-a7b64598
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Coursera,Issued Sep 2020,mariam-awad-a7b64598
Problem Solving (Basic) Certificate,HackerRank,Issued Jul 2020,mariam-awad-a7b64598
Udacity Deep Learning Nanodegree Program,Udacity,Issued Oct 2019,mariam-el-seddiek
UiPath - RPA Developer Advanced Certificate of Completion,UiPath,Issued Oct 2019,mariam-el-seddiek
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Feb 2023,mariam-fahmy-2aa2b8176
Fundamentals for Kyverno,Nirmata,Issued Feb 2023,mariam-fahmy-2aa2b8176
AWS Partner: Security Best Practices,Amazon Web Services (AWS),Issued Oct 2022,mariam-fahmy-2aa2b8176
Red Hat System Administration I,Redhat Rhcsa &amp; Rhce Linux Training &amp; Certification Center,Issued Mar 2023,mariam-gad
Network Virtualization Concepts,MaharaTech - ITIMooca,Issued Nov 2022,mariam-gad
Cloud and Virtualization Concepts,MaharaTech - ITIMooca,Issued Oct 2022,mariam-gad
Self-driving Car nanodegree,Udacity,,mariam-samir-b200b4176
React.js Essential Training,LinkedIn,Issued Feb 2019,mariamyehya
Android App Development: Data Persistence Libraries,LinkedIn,Issued Jan 2019,mariamyehya
Intermediate Kotlin for Android Developers,LinkedIn,Issued Jan 2019,mariamyehya
Advanced Data Analysis Nanodegree,Udacity,Issued Oct 2022,marina-eldib
Probability and Statistics for Data Science in R,Experfy,Issued Feb 2019,marina-eldib
Databricks Certified Machine Learning Professional,Databricks,Issued Jul 2022 · Expires Jul 2024,marina-eldib
Angular : Getting Started,Pluralsight,Issued Nov 2020,marina-magdy
React Basics Certificate,HackerRank,Issued Nov 2020,marina-magdy
Frontend development track,Udacity,Issued Sep 2020,marina-magdy
Associate - Data science version2,Dell Technologies,Issued Jun 2022,marina-wafik-7294731b4
Big Data Master Class,Sprints,Issued Oct 2020,mario-sherif-84128a138
Full Stack Development Workshops,CLS Learning Solutions,Issued Feb 2019,mario-sherif-84128a138
Communication Workshop and Aviation Academy 6.0,Aviation CLUB EG,Issued Apr 2018,mario-sherif-84128a138
Cloud Application Developer 2018 - Mastery Award for Students,IBM,Issued Feb 2019 · Expires Dec 2026,mark-wagdy-4b9350181
Cloud Application Developer 2018 - Explorer Award for Students,IBM,Issued Feb 2019 · Expires Nov 2026,mark-wagdy-4b9350181
Cloud Application Developer 2018 - Explorer Award for Students,IBM,Issued Feb 2019 · Expires Nov 2026,mark-wagdy-4b9350181
First place at Egypt AppCup,TIEC,Issued Oct 2019,marwa-a-alnashar
Participant in Hajj Hackathon,Hajj Hackathon,,marwa-a-alnashar
Second place at 010HackathonVodafone,Vodafone,,marwa-a-alnashar
Web Development using Node JS and Angular,National Telecommuting Institute,Issued Nov 2021,marwa-abdelbasit-891201148
Database Fundamentals,MaharaTech,Issued Sep 2021,marwa-abdelbasit-891201148
Build your own chatbot,IBM,Issued Feb 2020,marwa-abdelbasit-891201148
Problem Solving (Basic) Certificate,HackerRank,Issued Jun 2022,marwa-abdullah
Web Development Challenge Track,"Information Technology Industry Development Agency, ITIDA",Issued Oct 2020,marwa-abdullah
Hacker Cup Competition,Meta,Issued Oct 2021,marwan-mohsen-b25610170
Java (Basic),HackerRank,Issued Oct 2021,marwan-mohsen-b25610170
Problem Solving (Basic),HackerRank,Issued Oct 2021,marwan-mohsen-b25610170
Build Basic Generative Adversarial Networks (GANs),Coursera,Issued Oct 2020,marwansaadsalem
Convolutional Neural Networks,Coursera,Issued Oct 2020,marwansaadsalem
Deep Learning Specialization,Coursera,Issued Oct 2020,marwansaadsalem
Docker for Developers,LinkedIn,Issued Jan 2022,maryam-ahmed-065b9823
Functional Programming with Java,LinkedIn,Issued Dec 2021,maryam-ahmed-065b9823
Java Design Patterns: Creational,LinkedIn,Issued Dec 2021,maryam-ahmed-065b9823
Scrum Foundation Professional Certificate SFPC (v2020),CertiProf,Issued Mar 2023,maryam-elderiny-6812bb1b6
Introduction to Natural Language Processing,Analytics Vidhya,Issued Jan 2022,maryam-elderiny-6812bb1b6
Java for Android,Coursera,Issued Oct 2020,maryam-elderiny-6812bb1b6
Android summer training,"Faculty of Computer and Information Sciences, Ain Shams University",,maryam-mohamed-707742219
Software developer,HITS Solutions,,maryam-mohamed-707742219
Summer internship,Petrosilah/Merlon International,,maryam-mohamed-707742219
Faculty of Engineering Cairo University Collegiate Programming Contest (FECCPC) 2018,ICPC - International Collegiate Programming Contest,Issued Sep 2018,maryamshalaby
Code Giest Hackathon,SefrWahed - صفرواحد,Issued Aug 2018,maryamshalaby
NYUAD Hackathon for the Social Good in the Arab World,New York University Abu Dhabi,Issued Apr 2018,maryamshalaby
5G (SA) RAN Signaling and Operations,Award Solutions,Issued Dec 2022,mayar-nour-3230b0153
Crash Course on Python,Coursera,Issued Mar 2022,mayar-nour-3230b0153
RPA - Database,IBM,Issued May 2021,mayar-nour-3230b0153
HR Strategic Management Professional Diploma,RITI,Issued Apr 2020,mayy-ahmed
TOT Diploma,RITI,Issued Mar 2019,mayy-ahmed
Deep Learning Nanodegree,Udacity,Issued Jan 2019,meltabbakh
Machine Learning Course,Coursera,Issued Jun 2017,meltabbakh
Artificial Intelligence Analyst 2020 - Mastery Award,IBM,Issued Oct 2020,menna-allah-ahmed-391bb31a3
Artificial Intelligence Analyst 2020 - Explorer Award,IBM,Issued Sep 2020,menna-allah-ahmed-391bb31a3
Command Line in Linux,Coursera,Issued Sep 2020,menna-allah-ahmed-391bb31a3
DevOps Foundations,LinkedIn,Issued May 2021,menna-el-gedawy
Learning Docker,LinkedIn,Issued May 2021,menna-el-gedawy
Cloud Application Developer 2018 - Mastery Award for Students,IBM,Issued Jul 2018,menna-el-gedawy
VMware Student Workshop,Dell Technologies,Issued Feb 2020,menna-fadali998
ICPCID,ICPC - International Collegiate Programming Contest,Issued Jan 2018,menna-fadali998
Internship program completion,RankUp,Issued Jan 2022,menna-muhammad
Internship Program completion,Tactful AI,Issued Oct 2021,menna-muhammad
Introduction to Artificial Intelligence (AI),Coursera,Issued Nov 2020,menna-muhammad
Certificate of completion - Git and GitHub,365 Data Science,Issued Nov 2021,merna-fayez
"Advanced full-stack web development nanodegree, FWD Udacity scholarship, Udacity",Udacity,Issued Nov 2022 · Expired Feb 2023,merna-zakaria-03017a187
"9-Months Diploma, Track: User Interface Design (UID), Alexandria branch","Information Technology Institute (ITI), Ministry of Communications and Information Technology (MCIT)",Issued Oct 2018 · Expired Jun 2019,merna-zakaria-03017a187
The Experience Unilever day,Unilerver,Issued Nov 2014,mervat-mosaad-596864a9
Intel Ideation Workshop,Intel,Issued Feb 2014,mervat-mosaad-596864a9
TIEC Capacity Building Program For Universities.,Technology Innovation and entrepreneurship Center,Issued Feb 2014,mervat-mosaad-596864a9
C# (Basic) Certificate,HackerRank,Issued Oct 2022,mgelgazar
Getting Started with Docker,Pluralsight,Issued Sep 2022,mgelgazar
Building a RESTful API with ASP.NET Core 3,Pluralsight,Issued Jul 2022,mgelgazar
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Coursera,Issued Nov 2021,mheshamc137
Sequence Models,Coursera,Issued Nov 2021,mheshamc137
Structuring Machine Learning Projects,Coursera,Issued Nov 2021,mheshamc137
AI for Medicine,Coursera,Issued Jun 2020,michael-said-01b340174
Mathematics for Machine Learning Specialization,Coursera,Issued Apr 2020,michael-said-01b340174
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,Issued Sep 2019,michael-said-01b340174
React js,HackerRank,Issued Oct 2022,micheal-abid-fekry-52a500184
(Web Development Professional),Udacity,Issued Jan 2021,micheal-abid-fekry-52a500184
bachelor degree,Alexandria University,Issued Jun 2016,micheal-abid-fekry-52a500184
Introduction to TestNG,TestAutomationU,Issued Jul 2022,mina-maher-boutros
Postman,QAcart,Issued Jul 2022,mina-maher-boutros
Selenium WebDriver With Java,TestAutomationU,Issued Jul 2022,mina-maher-boutros
Codility Silver Award for the Niobium 2019 Challenge,Codility,Issued May 2019,mina-maher666
Data Scientist - Explorer Award for Students 2017 - 2019,IBM,Issued Jul 2017,mina-maher666
Data Scientist - Explorer Award for Students 2017 - 2019,IBM,Issued Jul 2017,mina-maher666
Certified ScrumMaster® (CSM®),Scrum Alliance,Issued Nov 2022,mina-malak-loutfi-2a397213b
Google Cloud Developer - GCP Professional Certification,Udemy,Issued Feb 2023,mina-n-w-s
Architecting with Google Compute Engine,Coursera,Issued Jun 2022,mina-n-w-s
Reliable Google Cloud Infrastructure: Design and Process,Coursera,Issued Jun 2022,mina-n-w-s
Android Developer Nanodegree,Udacity,Issued Feb 2018,mina-nasrallah-a21b30122
Neural Networks and Deep Learning,Coursera,Issued Nov 2017,mina-nasrallah-a21b30122
Introduction to Game Design,Coursera Course Certificates,Issued Nov 2016,mina-nasrallah-a21b30122
Deep Learning Specialization,Coursera,Issued Feb 2019,mo-men-ahmed
Sequence Models,Coursera,Issued Feb 2019,mo-men-ahmed
Structuring Machine Learning Projects,Coursera,Issued Oct 2018,mo-men-ahmed
M201: MongoDB Performance,MongoDB,Issued Jan 2023,moaazmoustafa
M001:MangoDB Basics,MongoDB,Issued May 2022,moaazmoustafa
Problem Solving (Basics),HackerRank,Issued Apr 2022,moaazmoustafa
React js,HackerRank,Issued Apr 2022,moabdelmegeed
Introduction to the Internet of Things and Embedded Systems,Coursera,Issued Feb 2018,moabdelmegeed
Revit Mep,Autodesk Revit MEP,Issued Oct 2017,moabdelmegeed
IELTS (7.5 Overall Score),British Council,Issued Sep 2022,moamen-ihab-elsayed
IBM Data Science Professional Certificate,edX,Issued Jul 2020,moamen-ihab-elsayed
Python Data Science,edX,Issued Jul 2020,moamen-ihab-elsayed
JavaScript Algorithms and Data Structures,freeCodeCamp,Issued Dec 2021,moameneltouny
Zend Certified Engineer,Zend by Perforce,Issued Nov 2021,moameneltouny
The Fundamentals of Digital Marketing,Google,Issued Sep 2019,moameneltouny
Design Patterns,Coursera,Issued Aug 2020,moataz-elsakkar
Scrum Foundation Professional Certificate,CertiProf,Issued Dec 2020 · Expired Dec 2022,moataz-elsakkar
Cloud Application Developer 2018 - Explorer Award for Students,IBM,,moataz-elsakkar
Advanced Data Analysis,Udacity,Issued Feb 2021,moataz-mansour-030a371bb
Master in Microsoft Power BI Desktop and Service,Udemy,Issued Feb 2021,moataz-mansour-030a371bb
Convolutional Neural Networks,Coursera,Issued Jan 2021,moataz-mansour-030a371bb
Machine Learning Data Lifecycle in Production,Coursera,Issued Jun 2022,moaz-lasheen
Python on the backend,Udemy,Issued Jun 2022,moaz-lasheen
Introduction to machine learning in production,Coursera,Issued Apr 2022,moaz-lasheen
Getting Started with Spring boot,amigoscode,Issued Mar 2021,moeldeeb98
Introduction to Python Course in Data Science Track.,DataCamp,Issued Jan 2019,moeldeeb98
Problem Solving Contestant at ACM-LCPC.,ICPC - International Collegiate Programming Contest,Issued Sep 2018,moeldeeb98
100 Mentorship Minutes,adplist.org,Issued Mar 2023,moelnaggar14
Tealium iQ - Advanced - Virtual Training,Tealium,Issued Apr 2022,moelnaggar14
Tealium iQ - Basic - Virtual Training,Tealium,Issued Mar 2022,moelnaggar14
Angular Development Cross Skilling,Udacity,Issued Jun 2022,moelzanaty3
Connect MentorShip Nanodegree,Udacity,Issued Mar 2022,moelzanaty3
User Experience Nanodegree Program,Udacity,Issued Sep 2021,moelzanaty3
Sequence Models,Coursera,,moemenalaa97
Algorithmic Toolbox,Coursera,,moemenalaa97
Cleaning Data in Python,DataCamp,,moemenalaa97
Spring Framework: Creating Your First Spring Boot Application,Pluralsight,Issued Oct 2021,moh-khattab
Database Foundations: Core Concepts,Lynda.com,Issued Jan 2020,moh-khattab
C Essential Training: 1 The Basics,Lynda.com,Issued Oct 2019,moh-khattab
"Multivendor x86 - Remote/Field Technical Support, Foundation",IBM,Issued Dec 2022,mohab-hossam-398487127
IBM Growth Behaviors,IBM,Issued Sep 2022,mohab-hossam-398487127
"People Skills - Communication, Presentation, Collaboration, and Problem Solving",IBM,Issued Dec 2021,mohab-hossam-398487127
ACM,ICPC - International Collegiate Programming Contest,Issued Oct 2016,mohab-mohamed-6804aa139
AWS Certified Solutions Architect – Professional,Amazon Web Services (AWS),Issued Mar 2023 · Expires Mar 2026,mohabelhawawshy
AWS Certified Security - Specialty,Amazon Web Services (AWS),Issued Aug 2022 · Expires Aug 2025,mohabelhawawshy
Certified Kubernetes Security Specialist,Cloud Native Computing Foundation (CNCF),Issued Aug 2021 · Expires Aug 2023,mohabelhawawshy
Functional Program Design in Scala,Coursera,Issued Apr 2021,mohamed-a-mahrous
Functional Programming Principles in Scala,Coursera,Issued Apr 2020,mohamed-a-mahrous
Natural Language Processing,Coursera,Issued Mar 2020,mohamed-a-mahrous
Parallel and Concurrent Programming with C++ Part 1,LinkedIn,Issued Oct 2021,mohamed-abdelhakeem-824681ab
C++ Essential Training,LinkedIn,Issued Sep 2021,mohamed-abdelhakeem-824681ab
C++ Essential Training (2020),LinkedIn,Issued Sep 2021,mohamed-abdelhakeem-824681ab
HackerRanck Problem Solving (Basic),HackerRank,Issued Sep 2020,mohamed-abdelmaksoud-sw-engineer
Apache Kafka Essential Training: Getting Started,LinkedIn,Issued Mar 2023,mohamed-adel769
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,LinkedIn,Issued Mar 2023,mohamed-adel769
Enterprise Design Thinking Practitioner,IBM,Issued Dec 2022,mohamed-adel769
Data Scientist with Python Track,DataCamp,Issued Oct 2021,mohamed-ahmed-salman-147816124
Java Development SE,Information Technology Institute (ITI),Issued Apr 2021,mohamed-ahmed-salman-147816124
Database Fundamentals,Information Technology Institute (ITI),Issued Jan 2021,mohamed-ahmed-salman-147816124
Understanding 5G: The Next Evolution in Wireless,Udemy,Issued Apr 2023,mohamed-atef-a89a8b33
Advanced Cloud Developer Nanodegree Program,Udacity,Issued Oct 2022,mohamed-atef-a89a8b33
Scrum Master Certification Scaling Agile and the Team-of-Teams,LearnQuest,Issued Jun 2022,mohamed-atef-a89a8b33
Advanced Python,LinkedIn,Issued Feb 2022,mohamed-ayman-843920116
How to Stop Wasting Time in Meetings,LinkedIn,Issued Jan 2022,mohamed-ayman-843920116
Introduction to Programming in C Specialization,Coursera,Issued Jul 2019,mohamed-dalam
Embedded Systems - Shape The World: Microcontroller Input/Output,edX,Issued May 2019,mohamed-dalam
DeepLearning.AI TensorFlow Developer Specialization,Coursera,Issued Oct 2022,mohamed-el-saeed-3a1130224
Neural Networks and Deep Learning,Coursera,Issued Dec 2021,mohamed-el-saeed-3a1130224
Mathematics for Machine Learning: Linear Algebra,Coursera,Issued May 2021,mohamed-el-saeed-3a1130224
CP Content Manager-Developer 4.0,IBM,,mohamed-elkayal-a6535b34
FCP Business Process Manager-Developer 4.0,IBM,,mohamed-elkayal-a6535b34
FCP Email Manager-Developer 4.0,IBM,,mohamed-elkayal-a6535b34
Certified ScrumMaster (CSM),Scrum Alliance,Issued Sep 2022,mohamed-gamal-el-din-90b83958
Certified Tester Foundation Level - Agile Tester (CTFL-AT),ISTQB® - International Software Testing Qualifications Board,Issued Apr 2018,mohamed-gamal-el-din-90b83958
Certified Tester Foundation Level (CTFL),ISTQB® - International Software Testing Qualifications Board,Issued Feb 2018,mohamed-gamal-el-din-90b83958
Cisco Certified Network Associate Routing and Switching (CCNA),Cisco,Issued Feb 2020,mohamed-ibrahim-elgarhy
CKA: Certified Kubernetes Administrator,The Linux Foundation,Issued Jun 2022 · Expires Jun 2025,mohamed-ibrahim-elgarhy
ICT Professional Foundation Program,Ericsson,Issued Jan 2019,mohamed-islam-760b4a183
Convolutional Neural Networks,Coursera,Issued Sep 2019,mohamed-khamis-10
Improving Deep Neural Networks,Coursera,Issued Aug 2019,mohamed-khamis-10
Neural Networks and Deep Learning,Coursera,Issued Mar 2018,mohamed-khamis-10
Connect Mentorship Nanodegree,Udacity,Issued Sep 2022,mohamed-osama-eliwa-2139b7163
C# and .NET Essential Training,LinkedIn,Issued Aug 2022,mohamed-osama-eliwa-2139b7163
C++: Advanced Topics,LinkedIn,Issued Aug 2022,mohamed-osama-eliwa-2139b7163
Certified Tester Foundation Level (CTFL),ISTQB® - International Software Testing Qualifications Board,Issued Aug 2022,mohamed-saidd
MVVM Design Pattern Using Swift,Udacity,Issued Jun 2022,mohamed-samir-salem
Mastering RxSwift in Ios,Udacity,Issued Mar 2022,mohamed-samir-salem
iOS Architecture Design Patterns,MaharaTech,Issued May 2021,mohamed-samir-salem
Full stack engineer,National Telecommunication Institute (NTI),Issued Aug 2021,mohamed-samy-08531a16a
Cloud infrastructure and services,Dell EMC,Issued Feb 2019,mohamed-samy-08531a16a
Business intelligence analyst,IBM,Issued Sep 2018,mohamed-samy-08531a16a
Natural Language Processing Nanodegree,Udacity,Issued Jan 2020,mohamed-shawky
IoT in the Google Cloud,Google,Issued Sep 2018,mohamed-shawky
Artificial Intelligence Intro,IBM,Issued May 2018,mohamed-shawky
Data Engineering Nanodegree,Udacity,Issued Aug 2020,mohamed-sief-74006115
Problem Solving (Basic) Certificate,HackerRank,,mohamed-sobhy-074311a8
Advanced Python,LinkedIn,Issued Jul 2022,mohamed-talaat-1a4521155
Learning Regular Expressions,LinkedIn,Issued Jul 2022,mohamed-talaat-1a4521155
Python: Advanced Design Patterns,LinkedIn,Issued Jul 2022,mohamed-talaat-1a4521155
AWS Certified Data Analytics - Specialty,Amazon Web Services (AWS),Issued Jun 2022 · Expires Jun 2025,mohamed-zidan-a8003a167
NANODEGREE Advanced Android Kotlin Development,Udacity,Credential ID NF3XNRJC,mohamedalaa4j
The Complete Android 12 &amp; Kotlin Development Masterclass,Udemy,Credential ID UC-52d2a35b-5043-4e72-bf2c-f8446a2f4a16,mohamedalaa4j
How to write cleaner Android code with Kotlin,Udemy,,mohamedalaa4j
Cybersecurity Foundation,Palo Alto Networks,Issued Oct 2020,mohamedalharouni
Cloud Application Developer 2019 - Explorer Award,IBM,Issued Sep 2020,mohamedalharouni
Cloud Application Developer 2019 - Mastery Award,IBM,Issued Sep 2020,mohamedalharouni
Advanced DevOps Cloud Engineer NanoDegree,Udacity,Issued May 2022,mohamedawwad-sd
AWS S3 Basics,Project Network,Issued Mar 2022,mohamedawwad-sd
