University,Degree,Date,User
Madina Higher Institutes,"بكالوريوس تكنولوجيا, تكنولوجيا الحاسب الآلي/تقنية نظم الحاسب الآلي",Oct 2019 - Jun 2023,islam-emad-7a0152205
"Faculty of Computers and Information, Cairo University","Bachelor's Degree, Computer Science",2008 - 2012,islam-hassan-b733aa23
Ain Shams University,"Bachelor's degree, Computer Science",2015 - 2019,islam-muhammad13
Information Technology Institute (ITI),"Diploma of Software Engineering, Java",2010 - 2011,islammahamed
Zagazig University,"Bachelor's degree, Computer and Information Sciences",,islammahamed
Helwan University Cairo,"Bachelor’s Degree, Mathematics and Computer Science",2010 - 2015,islammoneer
Thebes Academy,"Bachelor's degree, Computer Science",Jan 2017 - Jul 2021,islammuhamed
Information Technology Institute (ITI),"Diploma, Embedded Systems",2020 - 2021,islamshafeek
Mansoura University,"Bachelor of Science - BSc, Mechatronics, Robotics, and Automation Engineering",2013 - 2018,islamshafeek
Ain Shams University,"Bachelor's degree, Computer Science",2013 - 2017,ismailsamiribrahim
Misr El-Gideda Secondary School,"General Secondary High School Certificate,, High School",2010 - 2013,ismailsamiribrahim
Helwan University Cairo,"Bachelor's degree, Faculty of Computers and Artificial intelligence",2016 - 2020,israa-ashraf-716880143
Information Technology Institute (ITI),Network and System Administration/Administrator,2020 - 2021,israa-shawkii-ibrahim
Al-Azhar University,"Bachelor's degree, Electrical and Electronics Engineering",2016 - 2020,israa-shawkii-ibrahim
Cairo University,"Junior, Computer Engineering",2015 - 2020,israaachraf
Alexandria University Faculty of engineering,"Bachelor's degree, Computer Science",2014 - 2019,jaylan-khaled-a5a33a146
Collège Notre Dame de Sion,2000 - 2014,,jaylan-khaled-a5a33a146
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2014 - 2019,kamal-aly-346137115
Portsaid British School IGCSE,"99.4%, IGCSE",2011 - 2014,kamal-aly-346137115
Cairo University,"Bachelor of Engineering - BE, Systems and Biomedical-Medical Engineering",2019 - 2024,kamel--mohamed
Udacity,"Data Analyst Nanodegree, Data Analytics",Jul 2021 - Sep 2021,kamel--mohamed
STEM Egypt school,2016 - 2019,,kamel--mohamed
Cairo University,"Bachelor's degree, Computer Engineering",2016 - 2021,kareem-osama-a9b4ba1b1
Misr University for Science and Technology,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2017 - 2022,kareem-s-a6a5b4ba
October 6 University,"Bachelor's degree, Computer Science",2012 - 2016,kariim8
Ain Shams University,Bachelor of Laws - LLB,2013 - 2017,karim-adnan-ba251a1a7
"Arab Academy for Science, Technology and Maritime Transport","Master's degree, Dispute Resolution",Sep 2020 - Dec 2022,karim-adnan-ba251a1a7
Udacity,"Nanodegree, Frontend Web Development Advanced",Apr 2021 - Jul 2021,karim-adnan-ba251a1a7
Modern Academy Maadi,"Bachelor's degree, Mechanical Engineering",2012 - 2017,karim-ahmed-659737141
Alexandria University,"Bachelor's Degree, Computer and Systems Engineering",2011 - 2016,karim-el-azzouni-29002385
"Arab Academy for Science, Technology and Maritime Transport","High School, International General Certificate of Secondary Education (IGCSE)",2009 - 2011,karim-el-azzouni-29002385
Faculty of Computer and Informations - Cairo University,"Bachelor of Computer Science, Computer Science",2005 - 2009,karim-nosseir
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,karim-yasser-36a80119b
Delta Higher Institute of Computers,"Bachelor's degree, Management Information Systems, General",Sep 2018 - Jun 2022,karimatif33
Future Academy - Higher Future Institute For Specialized Technological Studies,"Bachelor's degree, Computer Science",2016 - 2020,karimhisham
New Cairo Academy,"Bachelor's degree, Electrical and Electronics Engineering",2017 - 2022,karimmostafa0717
Information Technology Institute (ITI),"Diploma , open source technology",2016 - 2017,kazafy-sayed-b2546693
Suez Canal University,"Bachelor of computer science , computer science",2010 - 2014,kazafy-sayed-b2546693
Alexandria University,"Bachelor of Science - BS, Computer &amp; Communications Engineering",2014 - 2019,kelawaad
The German University in Cairo,"Bachelor of Science - BS, Computer Engineering",2017 - 2022,keroleselkess43
"Coptic high school, Minia City",2015 - 2017,,keroleselkess43
Suez Canal University,"Bachelor's degree, Computer Science",2016 - 2020,kerolloz
Cairo University,"Bachelor's degree, Computer Engineering",2016 - 2021,khaled-amgad-21040a200
Cairo University,"Bachelor's degree, Electronics and Electrical Communications Engineering",2017 - 2022,khaled-mahmoud22
Ain Shams University,"Bachelor's degree, Computer Engineering",2015 - 2020,khaled-mansour-22a914184
Udacity,"nano degree, Deep Learning",2019 - 2019,khaled-mohamed-gamal-47723b151
Helwan University Cairo,"Bachelor's degree, Electronics ,Communication and Compuer engineering",2013 - 2018,khaled-mohamed-gamal-47723b151
Cairo University,"Master of Science - MS, Computer Engineering",Feb 2023,khaled-nassar-2a129414b
Cairo University,"Bachelor of Science - BS, Computer Engineering",2016 - 2021,khaled-nassar-2a129414b
Narmer Language School,High School,2010 - 2016,khaled-nassar-2a129414b
Information Technology Institute (ITI),Big data specialist intensive training program,Apr 2021 - Jul 2021,khaled-sobhy-6b174b131
Udacity,"Nanodegree, Machine Learning engineer",2019 - 2019,khaled-sobhy-6b174b131
Alexandria University,"Bachelor's degree, Electronic and Communications Engineering",2013 - 2019,khaled-sobhy-6b174b131
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, General",2016 - 2020,khaledmustafa8
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2015 - 2020,khaledsabry97
6th Of October Secondary School,High School,2013 - 2015,khaledsabry97
"Faculty of Engineering , Mansoura university","Bachelor of Engineering - BE, Computer Science",2014 - 2019,khalidhsoliman
NTL Institute,"Game Design and Development Specification , Computer Games and Programming Skills",2017 - 2018,khalidhsoliman
Mansoura University,"Bachelor of Engineering - BE, Electrical and Electronics Engineering",Oct 2012 - Jul 2017,khalidzeiter
The Higher Institute For Specific Studies,"Good, Tourism Guidance",2007 - 2011,kirollos-georges-63b34b97
Faculty of Education-French Section (Ain Shams University),French Language Teacher Education,2005 - 2007,kirollos-georges-63b34b97
"Collège Des Frères St. Joseph, Khoronfish",2002 - 2005,,kirollos-georges-63b34b97
Alexandria University,"Bachelor of Engineering - BE, Electronics and Telecommunications",Sep 2017 - Jul 2022,kirollos-n
Collège Saint Marc,"High School Diploma, Mathematics",Sep 2014 - Jul 2017,kirollos-n
Alexandria University,"Very good, Tourism and airline studies",2016 - 2019,komtcho
Computer and Artificial Intelligence Cairo University,"Bachelor's degree, Computer Science",2017 - 2021,leena-essam-368279162
The German University in Cairo,"Bachelor's degree, Computer Science and Engineering",2013 - 2018,leena-morsi-48a390144
Information Technology Institute (ITI),"Diploma, Web and UI Development",2017 - 2018,linah-omara
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2012 - 2017,linah-omara
Minia University,"Bachelor of Computer and Information, Computer Science",Sep 2009 - Jun 2013,louees-nabil-944468100
Assiut University,Computer Software Engineering,Sep 2013 - Jun 2014,louees-nabil-944468100
Ain Shams University,"Bachelor of Engineering - BE, Computer Engineering",2016 - 2021,m-elsaeed
Elwy British International School,IGCSE,2014 - 2016,m-elsaeed
"Faculty of Engineering, Ain Shams University","Bachelor's degree, Computer Software Engineering",2015 - 2020,m-okashaa
Alexandria University,"Bachelor, Computer Engineering",2007 - 2012,maboelnour
FGSSR - Faculty of Graduate Studies for Statistical Research at Cairo University,Computer Science,,maged-mo
Mansoura University,"Bachelor of Engineering - BE, Mechatronics, Robotics, and Automation Engineering",2017 - 2022,maged-rifaat
Udacity,"Advanced Web Development Nanodegree, Computer Software Engineering",2020 - 2020,maged-rifaat
faculty of computer science and information system,"بكالوريوس تكنولوجيا, full stack web developer",2014 - 2018,mahamed-yehia-a9497213b
Cairo University,"Electrical, Electronics and Communications Engineering",2017 - 2021,mahmoud-abd-el-mawgoed-23b55218b
Udacity,"Nanodegree, Advanced Cloud DevOps",Jun 2022 - Sep 2022,mahmoud-abdelmalek
Faculty of Commerce - English Section ( Ain Shams University ),"Bachelor of Commerce - BCom, Accounting",2016 - 2020,mahmoud-abdelmalek
Thebes Academy,"Bachelor of Technology - BTech, Information Systems",2019 - 2022,mahmoud-adel-mansour
Architectural Art,"Engineering, architecture",2014 - 2019,mahmoud-adel-mansour
High Institute for Computers and Management Information Systems - HICMIS,"Bachelor's degree, Computer Software Engineering",2015 - 2019,mahmoud-afifi-b7129b95
High Institute for Computers and Management Information Systems - HICMIS,,,mahmoud-afifi-b7129b95
Cairo University,Electrical and Electronics Engineering,2016 - 2021,mahmoud-ahmed-01750618a
Cairo University,"Bachelor's degree, Information Technology",2013 - 2017,mahmoud-ahmed-682939142
Faculty of engineering - Alexandria university,"Bachelor's degree, Electronics and Communications Engineering",2009 - 2014,mahmoud-amin-7a4a09100
Information Technology Institute (ITI),Embedded Mobile Systems,2015 - 2016,mahmoud-biltagy
UC San Diego,2015 - 2015,,mahmoud-biltagy
University of Fayoum,"Engineer’s Degree, Electronics and Communications Engineering",2007 - 2012,mahmoud-biltagy
Udacity,"Nanodegree program, iOS development",2020 - 2020,mahmoud-diab-ios
Helwan University Cairo,"Bachelor's degree, Computer Science",2013 - 2017,mahmoud-diab-ios
Cairo University,"Bachelor of Commerce - BCom, Accounting",Oct 2012 - Jun 2016,mahmoud-elqady-8297a6262
Ain Shams University,Computer and Information Sciences,2012 - 2016,mahmoud-elsehly-a07089126
Modern Academy Maadi,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",Sep 2017 - Jun 2022,mahmoud-eltantawy
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2015 - 2020,mahmoud-elzeiny-44ba4917a
Ain Shams University,"Bachelor of Science (BS), Computer Science",2009 - 2013,mahmoud-emam-65737a31
Cairo University,"Bachelor's degree, Computer Science and Artificial Intelligence",2017 - 2021,mahmoud-esmail
Udacity,"Nanodegree, Programming for Data Science",,mahmoud-esmail
Udacity,"Nanodegree, Data Analysis Professional",,mahmoud-esmail
Delta University for Science and Technology,"Bachelor's degree, Adminstrative information systems",2015 - 2019,mahmoud-hawas
Alexandria University,"Student, Electronics and Communication Engineering",Sep 2017 - Jul 2022,mahmoud-magdy-ayoub
Udacity,"Self Driving Car Nanodegree, School of Autonomous Systems",2018 - 2019,mahmoud-moawad-5a32a5100
Cairo University,"Bachelor's degree, Aerospace",2014 - 2019,mahmoud-moawad-5a32a5100
Alexandria University,"B.Sc., Computer Science",1997 - 2002,mahmoud-mohasseb-9b8b514
Faculty of Computers and Information - Menofia University,"Bachelor's degree, Computer Science",2012 - 2016,mahmoud-salah-2b0235101
Faculty Of Computer and Informatics Benha University,"Bachelor's Degree, Computer Science",2008 - 2012,mahmoud-shawky
Information Technology Institute (ITI),"Full stack Developer, Mearn stack development",2020 - 2021,mahmoud-yehia-512991b9
Mansoura University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2013 - 2018,mahmoud-yehia-512991b9
Faculty of Engineering Tanta University,"Excellent, Computers and Automatic Control",2015 - 2020,mahmoud-youssef97
National Telecommunication Institute (NTI),"AWS Cloud Support &amp; Solutions Architect, Information Technology",Sep 2022 - Jan 2023,mahmoudabdulfatah
Modern Academy for Engineering &amp; Technology,"Bachelor of Engineering - BE, Computer Engineering",Jan 2017 - May 2022,mahmoudabdulfatah
Modern Academy Maadi,"Bachelor’s Degree, Computer Science",2015 - 2019,mahmoudihefny
Ain Shams University,"Bachelor's degree, Computer Science",Jan 2018 - Jul 2022,mahmoudkkandil
Abou Bakr El Seddik Official Language School,Jul 2018,,mahmoudkkandil
Cairo University,"Bachelor of Science - BS, Computer Science",2011 - 2015,mahmoudmohsen213
Alexandria University,"Bachelor of Science - BS, Electrical, Electronics and Communications Engineering",2017 - 2022,mahmoudsabra1
El-Nasr Boys' School,High School Diploma,2005 - 2017,mahmoudsabra1
Faculty Of Engineering - Alexandria University,"Bachelor's degree, Computer and system Engineering",2012 - 2016,mahmoudzidan
Ain Shams University,"BSc, Computer Science",2014 - 2018,mai-elshiashi
Information Technology Institute (ITI),Front End Development,2019 - 2020,mai-mohamed-75a4b617b
Alexandria University,"Bachelor of Engineering - BE, Electronics and Communication Engineering",2013 - 2017,mai-mohamed-75a4b617b
Ain Shams University,"Bachelor's degree, Computer Science",2008 - 2012,mai-mohamed-sadek-0783b436
Agyal Integrated Language School,"high school, Maths department",2007 - 2008,mai-mohamed-sadek-0783b436
Cairo University,"Bachelor of Science (B.Sc.), Electrical Power and Machines Engineering",2008 - 2014,majidzeno
Helwan University Cairo,"Bachelor of Engineering, Computer and Communication Engineering",Sep 2017 - Aug 2022,manar-anwar
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, Bioinformatics",2014 - 2018,manar-ramadan
Ahram Canadian University - ACU,"Bachelor's degree, Computer Engineering",2017 - 2022,manssorr
"Faculty of Engineering, Alexandria University","Bachelor's degree, Computer and Communications Engineering",2016 - 2021,maram-hesham-49a4a5183
"Arab Academy for Science, Technology and Maritime Transport",IGCSE,2013 - 2016,maram-hesham-49a4a5183
Cairo University,"Bachelor's degree in computer science track software engineering minor information systems , Computers and information",2013 - 2017,marammohammad
"Arab Academy for Science, Technology and Maritime Transport","Bachelor of Engineering - BE, Computer Engineering",2011 - 2017,mariam-awad-a7b64598
The German University in Cairo,"Bachelor of Science - BS, Computer Software Engineering",2015 - 2019,mariam-el-seddiek
Ain Shams University,"Bachelor's degree, Computer Engineering",Sep 2017 - Jul 2022,mariam-fahmy-2aa2b8176
Benha University,"Bachelor's degree, Computer Software Engineering",Sep 2017 - Jun 2022,mariam-gad
Alexandria University,"Electrical, Electronics and Communications Engineering",2016 - 2021,mariam-samir-b200b4176
Cairo University,"Bachelor's degree, Systems and Biomedical Engineering",2018 - 2022,mariammuhammed
The German University in Cairo,"Bachelor's Degree, Business Informatics",2014 - 2018,mariamyehya
Rowad IGCSE College,"High School, IGCSE",2011 - 2014,mariamyehya
Gheriany International School,Prep School,2007 - 2011,mariamyehya
"Faculty of engineering, Cairo university",Computer Engineering,2018 - 2023,mariem-muhammed-1009801b1
The German University in Cairo,"Bachelor's degree, Business Informatics",2012 - 2016,marina-eldib
College du Sacre Coeur,"French Baccalaureate, Sciences",1998 - 2012,marina-eldib
Information Technology Institute (ITI),User Interface Design,2017 - 2018,marina-magdy
Alexandria University,"Bachelor's degree, Computer Science",2013 - 2017,marina-magdy
Alexandria University,"Bachelor's degree, Computer Science",2013 - 2017,marina-magdy
The German University in Cairo,"Bachelor degree, computer science and engineering",2016 - 2021,marina-wafik-7294731b4
Ramses college for girls,IGCSE,,marina-wafik-7294731b4
Ain Shams University,Computer Engineering and Software Systems Program,Sep 2016 - Jul 2021,mario-sherif-84128a138
Ain Shams University Faculty of Engineering,"Bachelor's degree, Computer Engineering and Software Systems",2016 - 2021,mark-wagdy-4b9350181
Minia University,"84.6% , Management Information Systems, General",2015 - 2019,marwa-a-alnashar
Helwan University Cairo,2016 - 2021,,marwa-abdelbasit-891201148
Cairo University,2016 - 2021,,marwa-abdullah
3alemny Academy,"Diploma, Embedded Systems diploma",2019 - 2019,marwa-abdullah
Biomedical engineer,,,marwa-abdullah
Helwan University Cairo,"Bachelor's degree, Computer Engineering",2009 - 2013,marwa-khaled-9837ab61
Ain Shams University,"Bachelor's degree, Computer Engineering",2014 - 2019,marwa-magdy-66b910166
The German University in Cairo,"Bachelor’s Degree, Information Engineering Technology - Networks",2010 - 2015,marwan-m-sallam
Nefertari International Schools,IGCSE,2008 - 2010,marwan-m-sallam
The German University in Cairo,"Engineer's degree, computer science engineering",2018 - 2023,marwan-mohsen-b25610170
Maastricht University,"Bachelor's degree - Cum Laude, Data Science and Knowledge Engineering",2017 - 2020,marwankamelmansour
Riada International School,IGCSE Diploma,2013 - 2017,marwankamelmansour
Alexandria University,"Bachelor of Science - BSc, Computer and Communications Engineering",2016 - 2021,marwansaadsalem
Riada Language School,High School Diploma,2001 - 2016,marwansaadsalem
Assiut University,"Bachelor's degree, Computer and Information Sciences and Support Services",2007 - 2011,maryam-ahmed-065b9823
Faculty of computer and information assiut university,"Bachelor's degree, Computer and Information Sciences, General",2007 - 2011,maryam-ahmed-065b9823
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2018 - 2022,maryam-elderiny-6812bb1b6
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, General",2018 - 2022,maryam-mohamed-707742219
FCI-CU,2015 - 2019,,maryammehab
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,maryamshalaby
Alhoda International School,IGCSE,2005 - 2015,maryamshalaby
Alexandria University,"Bachelor's degree, Computer Engineering",2008 - 2013,matef99
Ain Shams University,"Bachelor's degree, Computer Engineering Software and Systems",Sep 2016 - Jul 2021,mayar-nour-3230b0153
Al-Alsun Faculty - Ain Shams University,"Bachelor's degree, English Linguistics and Translation",2013 - 2016,mayy-ahmed
"Alexandria University, Faculty of Science","Bachelor of Science (BSc), Computer Science",2007 - 2011,melhelbawy
Alexandria University,"Bachelor of Science (B.Sc), Computer and Systems Engineering",2014 - 2019,meltabbakh
Pioneers International School,"Certificate of General Secondary Education, Mathematics",2010 - 2014,meltabbakh
Lycée la liberté d'Alexandrie,2000 - 2010,,meltabbakh
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2023,menna-allah-ahmed-391bb31a3
Ain Shams University,"Bachelor of Engineering - BE, Computer Software Engineering",2015 - 2020,menna-el-gedawy
The German University in Cairo,"Bachelor's degree, Engineering",Sep 2016 - Jul 2021,menna-fadali998
Helwan University Cairo,"student, Information Science/Studies",Jan 2014 - May 2021,menna-farid-24b533b6
Ain Shams University,"Bachelor's degree, Computer and Information Science",2018 - 2022,menna-muhammad
Al Ahd Al Jadid Schools,High School Diploma,2014 - 2018,menna-muhammad
Alexandria University,"Bachelor's Degree, Computer and Communications Engineering",2009 - 2014,mennabadr
The German University in Cairo,"Bachelor's degree, Media Engineering &amp; Technology",,mennamos
Ulm University,"Bachelor Thesis, Computer Vision, Institute of Neural Information Processing",,mennamos
Ain Shams University,"Bachelor's degree, Computer Science",2016 - 2021,merna-fayez
Udacity,Full-stack development,Nov 2022 - Jan 2033,merna-zakaria-03017a187
Information Technology Institute (ITI),UI/ux design &amp;&amp; Frontend technologies,2018 - 2019,merna-zakaria-03017a187
Alexandria University,"Bachelor of Science - BS, Chemistry &amp; Biochemistry",2013 - 2016,merna-zakaria-03017a187
Alexandria University,"Very Good, Management Information System (MIS)",2012 - 2015,mervat-mosaad-596864a9
student,2012 - 2015,,mervat-mosaad-596864a9
Ain Shams University,"BSc, Computer Science",2004 - 2008,mfouad
Ain Shams University,"Bachelor's degree, Computer Science",2015 - 2020,mgelgazar
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",Aug 2017 - Jul 2022,mheshamc137
Loughborough University,"Bachelor's degree, Computer Science",2014 - 2017,michael-magdy-910260183
The British University in Egypt,"Bachelor's degree, Informatics and Computer Science",2014 - 2017,michael-magdy-910260183
Collège De La Salle,"High School Diploma, French Thanwya Aama",2000 - 2014,michael-magdy-910260183
Alexandria University,"Bachelor's degree, Computer and Systems Engineering",2016 - 2021,michael-said-01b340174
Information Technology Institute (ITI),web developer,2019 - 2020,micheal-abid-fekry-52a500184
Alexandria University,"Bachelor of Science - BS, computer science -programming",2012 - 2016,micheal-abid-fekry-52a500184
Assiut University,"Bachelor's Degree, Civil &amp; Structural Engineering",2009 - 2014,mina-maher-3523688b
Modern Salam School,"High School, Secondary Education",2008 - 2009,mina-maher-3523688b
Information Technology Institute (ITI),"Intensive Code Camp (ICC), Software Testing",Apr 2022 - Aug 2022,mina-maher-boutros
Modern Academy Maadi,"Bachelor's degree, Computer Science",Sep 2017 - Aug 2021,mina-maher-boutros
Faculty of Computers and Artificial Intelligence,"Bachelor's degree, Computer Software Engineering",2013 - 2017,mina-maher666
"Faculty of Engineering, Ain Shams University","Bachelor's degree, Computer Engineering",2013 - 2018,mina-malak-loutfi-2a397213b
Information Technology Institute (ITI),Full Stack Development,Dec 2021 - Apr 2022,mina-n-w-s
Udacity,"Nanodegree, Front End Web Development Advanced",2021 - 2021,mina-n-w-s
Udacity,"Nanodegree, web development professional",2020 - 2020,mina-n-w-s
Udacity,"Android Developer Nanodegree, Android Developing",2017 - 2018,mina-nasrallah-a21b30122
Ain Shams University faculty of engineering,"Bachelor's degree, Computer Software Engineering",2013 - 2018,mina-nasrallah-a21b30122
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2016 - 2021,mina-talaat-03116020b
The German University in Cairo,"Bachelor of Engineering - Bs, Computer Engineering",2014 - 2019,mirette-maged-aa326a17a
Benha University,"Bachelor's degree, Computer Science",2018 - Jul 2022,mmelzoka
Alexandria University,2016 - 2021,,mmelzoka
Ain Shams University,"Bachelor's degree, Computer Engineering and Systems",2014 - 2019,mo-men-ahmed
Information Technology Institute (ITI),Full-stack web development using Python,Aug 2021 - Nov 2021,moaazmoustafa
Harvard University,"CS50, Computer Science",Jul 2021 - Dec 2021,moaazmoustafa
Udacity,"Nanodegree, Web development",2021 - 2021,moaazmoustafa
Helwan University Cairo,"Bachelor's degree, Mechanical Engineering",2013 - 2018,moabdelmegeed
Mohamed Tarek,"Diploma, Embedded systems",2019 - 2019,moabdelmegeed
Helwan University Cairo,"Bachelor's degree, Computer Science",2012 - 2016,moamen-hossam
Future Academy - Higher Future Institute For Specialized Technological Studies,"Bachelor's degree, Computer Science",2014 - 2018,moamen-ihab-elsayed
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, General",2015 - 2019,moataz-elsakkar
Alexandria University,"Bachelor's degree, Computer Engineering",2015 - 2020,moataz-mansour-030a371bb
London South Bank University,"Computer Science, Artificial Intelligence",2018 - 2021,moaz-lasheen
The British University in Egypt,"Bachelor's degree, Computer Science",2018 - 2021,moaz-lasheen
Modern Sciences and Arts University,"Bachelor of Arts - BA, Management Science",2015 - Feb 2020,moealy97
Cairo University,"Bachelor's degree, Computer Science",2016 - 2020,moeldeeb98
Mansoura University,"Bachelor's degree, Computer Science",2013 - 2017,moelnaggar14
Udacity,Angular Development Cross Skilling,Apr 2022 - Jun 2022,moelzanaty3
Udacity,"User Experience Nanodegree, Graphic Design",Apr 2021 - Sep 2021,moelzanaty3
Udacity,"Full Stack Javascript Developer, Web Page, Digital/Multimedia and Information Resources Design",Apr 2021 - Jul 2021,moelzanaty3
Information Technology Institute (ITI),Data science,2020 - 2021,moemenalaa97
Alexandria University,"Student, Electrical, Electronics and Communications Engineering",2015 - 2020,moemenalaa97
Tanta University,"Bachelor's Degree computer Engineering and Automatic Control, Computer Science",Jul 2021,moh-khattab
Tanta University,Engineering,Jul 2021,moh-khattab
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2015 - 2020,mohab-hossam-398487127
Collège Saint-Marc,"High-School Degree, Mathematics",2012 - 2015,mohab-hossam-398487127
Helwan University Cairo,"Bachelor's degree, Computer Science",2013 - 2017,mohab-mohamed-6804aa139
Suez Canal University,Bachelor of Information Systems,2013 - 2017,mohabelhawawshy
Zewail City of Science and Technology,"Bachelor of Science - BS, Communication and Information Engineering",Sep 2016 - Jul 2021,mohamed-a-mahrous
Udacity,"Nanodegree, Natural Language Processing",2019 - 2020,mohamed-a-mahrous
Zagazig University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2008 - 2013,mohamed-abdelhakeem-824681ab
Alexandria University,"Bachelor's degree, Computer Software Engineering",2011 - 2016,mohamed-abdelmaksoud-sw-engineer
Cairo University,"Bachelor's degree, Computer",2018 - 2022,mohamed-adel-973621135
Ain Shams University,"Bachelor's degree, Computer and Information Science",2017 - 2021,mohamed-adel769
Information Technology Institute (ITI),Artificial Intelligence 9 months diploma (intake 1),Apr 2021 - Jan 2022,mohamed-ahmed-salman-147816124
Udacity,"Nanodegree, Deep Learning",Mar 2020 - Jul 2020,mohamed-ahmed-salman-147816124
Cairo University,"Bachelor's degree, Electrical Electronics and Communications Engineering",2015 - 2020,mohamed-ahmed-salman-147816124
Ain Shams University,"Bachelor's, Computer Science",2015 - 2020,mohamed-ashraf-07340212a
Zagazig University,"Good, Accounting",2012 - 2016,mohamed-atef-2020
Ain Shams University,"Bachelor’s Degree, Computer and Systems Engineering",2006 - 2011,mohamed-atef-a89a8b33
Lycée La Liberté Héliopolis,1994 - 2006,,mohamed-atef-a89a8b33
Cairo University,"Bachelor of Applied Science - BASc, Electrical, Electronics and Communications Engineering",2013 - 2018,mohamed-ayman-843920116
Royal international language school,2010 - 2013,,mohamed-ayman-843920116
Orouba language school,2000 - 2010,,mohamed-ayman-843920116
Assiut University,"Computers and control systems engineering, Computer Engineering",2013 - 2018,mohamed-dalam
Modern Academy Maadi,"Bachelor's degree, Computer Science",2015 - 2019,mohamed-effat
Information Technology Institute (ITI),Artificial Intelligence,Apr 2021 - Jan 2022,mohamed-el-ghannam-03230814a
"Faculty of Petroleum and Mining Engineering, Suez University","Bachelor's degree, Petroleum Engineering",Jul 2013 - Jul 2018,mohamed-el-ghannam-03230814a
Faculty Of Engineering Mansoura University,"Bachelor's degree, Computer Science",2012 - 2017,mohamed-el-mansy-833975165
Kafr El-Sheikh University,"Bachelor's degree, Computer Engineering",2016 - 2021,mohamed-el-saeed-3a1130224
"Faculty of Petroleum and Mining Engineering, Suez University","Good, Mining and Mineral Engineering",2013 - 2018,mohamed-elbeih-765a36b8
Faculty of Computers and Information,"Bachelor's degree, Computer Science",2003 - 2008,mohamed-elkayal-a6535b34
Information Technology Institute (ITI),"Bachelor's degree, Computer Programming",2018 - 2020,mohamed-elsayed-699044173
Yates Center High School,"Very good, Java Android",2019 - 2020,mohamed-elsayed-699044173
Yates Center High School,"Very good, Java desktop",2019 - 2020,mohamed-elsayed-699044173
Cairo University,"Bachelor's degree, Computer Science",2019 - 2023,mohamed-emad-2572791a9
Alexandria University,"Bachelor's degree, Computer and Communications Engineering",2016 - 2021,mohamed-gaballah-843a97197
KTH Royal Institute of Technology,"Master of Science - MS, Msc Software Engineering and Distributed Systems - Data Science Track",2017 - 2019,mohamed-gabr-a306971b1
Aalborg University,"Bsc Electrical and Electronics Engineering, Electrical and Electronics Engineering (Exchange student)",Sep 2016 - Jun 2017,mohamed-gabr-a306971b1
ECE. Ecole d'ingénieurs. Engineering School.,Electrical and Computer Engineering,Sep 2015 - Jun 2017,mohamed-gabr-a306971b1
Information Technology Institute (ITI),Software testing &amp; Quality Assurance,2017 - 2018,mohamed-gamal-el-din-90b83958
Higher Technological Institute,"Bachelor's degree, Engineering",2008 - 2013,mohamed-gamal-el-din-90b83958
Om El-Abtal Language school,General Secondary Certified education,2006 - 2008,mohamed-gamal-el-din-90b83958
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2013 - 2017,mohamed-gamal94
BSC Civil engineering Alexandria University,Diploma,1986 - 1991,mohamed-hammad-a720a622
Ain Shams University computer science and information system,2015 - 2019,,mohamed-hassan-0a2370147
Ain Shams University,"Bachelor's degree, Computer Software Engineering",Jan 2016 - Jun 2021,mohamed-hassan-85bab6196
Ain Shams University,"Bachelor's degree, Computer Engineering",2017 - 2021,mohamed-hassan-85bab6196
Minufiya University,"Bachelor of Engineering , Electrical and Computer engineering",2014 - 2019,mohamed-ibrahim-elgarhy
The German University in Cairo,"Undergraduate, Computer science",2016 - 2021,mohamed-islam-760b4a183
Technical University of Munich,"Master of Science - MS, Data engineering and analytics",Oct 2022,mohamed-islam-760b4a183
Ain Shams University,"Master's degree, Machine Learning and Data Mining",Oct 2021 - Aug 2024,mohamed-khamis-10
Ain Shams University,"Bachelor's degree, Computer Science",2014 - 2018,mohamed-khamis-10
Alexandria University,"Bachelor's degree, Communication and Electronics Engineering",Sep 2016 - Aug 2021,mohamed-monem-abo-elela-9a4a44223
Computer Science - Sadat Academy,"Bachelor's Degree, Computer Science",2003 - 2007,mohamed-mostafa-abdallah-76956828
