University,Degree,Date,User,university_name,faculty_name
assiut university,computer software engineering,Sep 2013 - Jun 2014,louees-nabil-944468100,,computer
ain shams university,"bachelor of engineering - be, computer engineering",2016 - 2021,m-elsaeed,ain shams,computer
"faculty of engineering, ain shams university","bachelor's degree, computer software engineering",2015 - 2020,m-okashaa,ain shams,computer
alexandria university,"bachelor, computer engineering",2007 - 2012,maboelnour,alexandria,computer
fgssr - faculty of graduate studies for statistical research at cairo university,computer science,,maged-mo,cairo,computer
mansoura university,"bachelor of engineering - be, mechatronics, robotics, and automation engineering",2017 - 2022,maged-rifaat,mansoura,mechatronic
faculty of computer science and information system,"بكالوريوس تكنولوجيا, full stack web developer",2014 - 2018,mahamed-yehia-a9497213b,,computer
cairo university,"electrical, electronics and communications engineering",2017 - 2021,mahmoud-abd-el-mawgoed-23b55218b,cairo,electronic
faculty of commerce - english section ( ain shams university ),"bachelor of commerce - bcom, accounting",2016 - 2020,mahmoud-abdelmalek,ain shams,commerce
thebes academy,"bachelor of technology - btech, information systems",2019 - 2022,mahmoud-adel-mansour,thebes,computer
architectural art,"engineering, architecture",2014 - 2019,mahmoud-adel-mansour,,engineering
high institute for computers and management information systems - hicmis,"bachelor's degree, computer software engineering",2015 - 2019,mahmoud-afifi-b7129b95,institute,computer
cairo university,electrical and electronics engineering,2016 - 2021,mahmoud-ahmed-01750618a,cairo,electronic
cairo university,"bachelor's degree, information technology",2013 - 2017,mahmoud-ahmed-682939142,cairo,computer
faculty of engineering - alexandria university,"bachelor's degree, electronics and communications engineering",2009 - 2014,mahmoud-amin-7a4a09100,alexandria,electronic
information technology institute (iti),embedded mobile systems,2015 - 2016,mahmoud-biltagy,#iti,
uc san diego,2015 - 2015,,mahmoud-biltagy,,
university of fayoum,"engineer’s degree, electronics and communications engineering",2007 - 2012,mahmoud-biltagy,fayoum,electronic
helwan university cairo,"bachelor's degree, computer science",2013 - 2017,mahmoud-diab-ios,cairo,computer
cairo university,"bachelor of commerce - bcom, accounting",Oct 2012 - Jun 2016,mahmoud-elqady-8297a6262,cairo,commerce
ain shams university,computer and information sciences,2012 - 2016,mahmoud-elsehly-a07089126,ain shams,computer
modern academy maadi,"bachelor of engineering - be, electrical, electronics and communications engineering",Sep 2017 - Jun 2022,mahmoud-eltantawy,modern academy,electronic
cairo university,"bachelor's degree, electrical, electronics and communications engineering",2015 - 2020,mahmoud-elzeiny-44ba4917a,cairo,electronic
ain shams university,"bachelor of science (bs), computer science",2009 - 2013,mahmoud-emam-65737a31,ain shams,computer
cairo university,"bachelor's degree, computer science and artificial intelligence",2017 - 2021,mahmoud-esmail,cairo,computer
delta university for science and technology,"bachelor's degree, adminstrative information systems",2015 - 2019,mahmoud-hawas,delta,computer
alexandria university,"student, electronics and communication engineering",Sep 2017 - Jul 2022,mahmoud-magdy-ayoub,alexandria,electronic
cairo university,"bachelor's degree, aerospace",2014 - 2019,mahmoud-moawad-5a32a5100,cairo,
alexandria university,"b.sc., computer science",1997 - 2002,mahmoud-mohasseb-9b8b514,alexandria,computer
faculty of computers and information - menofia university,"bachelor's degree, computer science",2012 - 2016,mahmoud-salah-2b0235101,,computer
faculty of computer and informatics benha university,"bachelor's degree, computer science",2008 - 2012,mahmoud-shawky,benha,computer
information technology institute (iti),"full stack developer, mearn stack development",2020 - 2021,mahmoud-yehia-512991b9,#iti,
mansoura university,"bachelor's degree, electrical, electronics and communications engineering",2013 - 2018,mahmoud-yehia-512991b9,mansoura,electronic
faculty of engineering tanta university,"excellent, computers and automatic control",2015 - 2020,mahmoud-youssef97,tanta,computer
national telecommunication institute (nti),"aws cloud support &amp; solutions architect, information technology",Sep 2022 - Jan 2023,mahmoudabdulfatah,institute,computer
modern academy for engineering &amp; technology,"bachelor of engineering - be, computer engineering",Jan 2017 - May 2022,mahmoudabdulfatah,modern academy,computer
modern academy maadi,"bachelor’s degree, computer science",2015 - 2019,mahmoudihefny,modern academy,computer
ain shams university,"bachelor's degree, computer science",Jan 2018 - Jul 2022,mahmoudkkandil,ain shams,computer
cairo university,"bachelor of science - bs, computer science",2011 - 2015,mahmoudmohsen213,cairo,computer
alexandria university,"bachelor of science - bs, electrical, electronics and communications engineering",2017 - 2022,mahmoudsabra1,alexandria,electronic
faculty of engineering - alexandria university,"bachelor's degree, computer and system engineering",2012 - 2016,mahmoudzidan,alexandria,computer
ain shams university,"bsc, computer science",2014 - 2018,mai-elshiashi,ain shams,computer
information technology institute (iti),front end development,2019 - 2020,mai-mohamed-75a4b617b,#iti,
alexandria university,"bachelor of engineering - be, electronics and communication engineering",2013 - 2017,mai-mohamed-75a4b617b,alexandria,electronic
ain shams university,"bachelor's degree, computer science",2008 - 2012,mai-mohamed-sadek-0783b436,ain shams,computer
cairo university,"bachelor of science (b.sc.), electrical power and machines engineering",2008 - 2014,majidzeno,cairo,power
helwan university cairo,"bachelor of engineering, computer and communication engineering",Sep 2017 - Aug 2022,manar-anwar,cairo,computer
ain shams university,"bachelor's degree, computer and information sciences, bioinformatics",2014 - 2018,manar-ramadan,ain shams,computer
ahram canadian university - acu,"bachelor's degree, computer engineering",2017 - 2022,manssorr,,computer
"faculty of engineering, alexandria university","bachelor's degree, computer and communications engineering",2016 - 2021,maram-hesham-49a4a5183,alexandria,computer
"arab academy for science, technology and maritime transport",igcse,2013 - 2016,maram-hesham-49a4a5183,,
cairo university,"bachelor's degree in computer science track software engineering minor information systems , computers and information",2013 - 2017,marammohammad,cairo,computer
"arab academy for science, technology and maritime transport","bachelor of engineering - be, computer engineering",2011 - 2017,mariam-awad-a7b64598,,computer
the german university in cairo,"bachelor of science - bs, computer software engineering",2015 - 2019,mariam-el-seddiek,guc,computer
ain shams university,"bachelor's degree, computer engineering",Sep 2017 - Jul 2022,mariam-fahmy-2aa2b8176,ain shams,computer
benha university,"bachelor's degree, computer software engineering",Sep 2017 - Jun 2022,mariam-gad,benha,computer
alexandria university,"electrical, electronics and communications engineering",2016 - 2021,mariam-samir-b200b4176,alexandria,electronic
cairo university,"bachelor's degree, systems and biomedical engineering",2018 - 2022,mariammuhammed,cairo,biomedical
the german university in cairo,"bachelor's degree, business informatics",2014 - 2018,mariamyehya,guc,commerce
"faculty of engineering, cairo university",computer engineering,2018 - 2023,mariem-muhammed-1009801b1,cairo,computer
the german university in cairo,"bachelor's degree, business informatics",2012 - 2016,marina-eldib,guc,commerce
college du sacre coeur,"french baccalaureate, sciences",1998 - 2012,marina-eldib,,science
information technology institute (iti),user interface design,2017 - 2018,marina-magdy,#iti,art
alexandria university,"bachelor's degree, computer science",2013 - 2017,marina-magdy,alexandria,computer
alexandria university,"bachelor's degree, computer science",2013 - 2017,marina-magdy,alexandria,computer
the german university in cairo,"bachelor degree, computer science and engineering",2016 - 2021,marina-wafik-7294731b4,guc,computer
ramses college for girls,igcse,,marina-wafik-7294731b4,,
ain shams university,computer engineering and software systems program,Sep 2016 - Jul 2021,mario-sherif-84128a138,ain shams,computer
ain shams university faculty of engineering,"bachelor's degree, computer engineering and software systems",2016 - 2021,mark-wagdy-4b9350181,ain shams,computer
minia university,"84.6% , management information systems, general",2015 - 2019,marwa-a-alnashar,,computer
helwan university cairo,2016 - 2021,,marwa-abdelbasit-891201148,cairo,
cairo university,2016 - 2021,,marwa-abdullah,cairo,
3alemny academy,"diploma, embedded systems diploma",2019 - 2019,marwa-abdullah,,
helwan university cairo,"bachelor's degree, computer engineering",2009 - 2013,marwa-khaled-9837ab61,cairo,computer
ain shams university,"bachelor's degree, computer engineering",2014 - 2019,marwa-magdy-66b910166,ain shams,computer
the german university in cairo,"bachelor’s degree, information engineering technology - networks",2010 - 2015,marwan-m-sallam,guc,computer
the german university in cairo,"engineer's degree, computer science engineering",2018 - 2023,marwan-mohsen-b25610170,guc,computer
maastricht university,"bachelor's degree - cum laude, data science and knowledge engineering",2017 - 2020,marwankamelmansour,,computer
alexandria university,"bachelor of science - bsc, computer and communications engineering",2016 - 2021,marwansaadsalem,alexandria,computer
assiut university,"bachelor's degree, computer and information sciences and support services",2007 - 2011,maryam-ahmed-065b9823,,computer
faculty of computer and information assiut university,"bachelor's degree, computer and information sciences, general",2007 - 2011,maryam-ahmed-065b9823,,computer
ain shams university,"bachelor's degree, computer software engineering",2018 - 2022,maryam-elderiny-6812bb1b6,ain shams,computer
ain shams university,"bachelor's degree, computer and information sciences, general",2018 - 2022,maryam-mohamed-707742219,ain shams,computer
fci-cu,2015 - 2019,,maryammehab,,
cairo university,"bachelor's degree, computer engineering",2015 - 2020,maryamshalaby,cairo,computer
alexandria university,"bachelor's degree, computer engineering",2008 - 2013,matef99,alexandria,computer
ain shams university,"bachelor's degree, computer engineering software and systems",Sep 2016 - Jul 2021,mayar-nour-3230b0153,ain shams,computer
al-alsun faculty - ain shams university,"bachelor's degree, english linguistics and translation",2013 - 2016,mayy-ahmed,ain shams,language
"alexandria university, faculty of science","bachelor of science (bsc), computer science",2007 - 2011,melhelbawy,alexandria,computer
alexandria university,"bachelor of science (b.sc), computer and systems engineering",2014 - 2019,meltabbakh,alexandria,computer
lycée la liberté d'alexandrie,2000 - 2010,,meltabbakh,,
cairo university,"bachelor's degree, computer engineering",2018 - 2023,menna-allah-ahmed-391bb31a3,cairo,computer
ain shams university,"bachelor of engineering - be, computer software engineering",2015 - 2020,menna-el-gedawy,ain shams,computer
the german university in cairo,"bachelor's degree, engineering",Sep 2016 - Jul 2021,menna-fadali998,guc,engineering
helwan university cairo,"student, information science/studies",Jan 2014 - May 2021,menna-farid-24b533b6,cairo,computer
ain shams university,"bachelor's degree, computer and information science",2018 - 2022,menna-muhammad,ain shams,computer
alexandria university,"bachelor's degree, computer and communications engineering",2009 - 2014,mennabadr,alexandria,computer
the german university in cairo,"bachelor's degree, media engineering &amp; technology",,mennamos,guc,computer
ulm university,"bachelor thesis, computer vision, institute of neural information processing",,mennamos,,computer
ain shams university,"bachelor's degree, computer science",2016 - 2021,merna-fayez,ain shams,computer
information technology institute (iti),ui/ux design &amp;&amp; frontend technologies,2018 - 2019,merna-zakaria-03017a187,#iti,art
alexandria university,"bachelor of science - bs, chemistry &amp; biochemistry",2013 - 2016,merna-zakaria-03017a187,alexandria,science
alexandria university,"very good, management information system (mis)",2012 - 2015,mervat-mosaad-596864a9,alexandria,computer
student,2012 - 2015,,mervat-mosaad-596864a9,,
ain shams university,"bsc, computer science",2004 - 2008,mfouad,ain shams,computer
ain shams university,"bachelor's degree, computer science",2015 - 2020,mgelgazar,ain shams,computer
cairo university,"bachelor of engineering - be, computer engineering",Aug 2017 - Jul 2022,mheshamc137,cairo,computer
loughborough university,"bachelor's degree, computer science",2014 - 2017,michael-magdy-910260183,,computer
the british university in egypt,"bachelor's degree, informatics and computer science",2014 - 2017,michael-magdy-910260183,,computer
alexandria university,"bachelor's degree, computer and systems engineering",2016 - 2021,michael-said-01b340174,alexandria,computer
information technology institute (iti),web developer,2019 - 2020,micheal-abid-fekry-52a500184,#iti,
alexandria university,"bachelor of science - bs, computer science -programming",2012 - 2016,micheal-abid-fekry-52a500184,alexandria,computer
assiut university,"bachelor's degree, civil &amp; structural engineering",2009 - 2014,mina-maher-3523688b,,civil
information technology institute (iti),"intensive code camp (icc), software testing",Apr 2022 - Aug 2022,mina-maher-boutros,#iti,computer
modern academy maadi,"bachelor's degree, computer science",Sep 2017 - Aug 2021,mina-maher-boutros,modern academy,computer
faculty of computers and artificial intelligence,"bachelor's degree, computer software engineering",2013 - 2017,mina-maher666,,computer
"faculty of engineering, ain shams university","bachelor's degree, computer engineering",2013 - 2018,mina-malak-loutfi-2a397213b,ain shams,computer
information technology institute (iti),full stack development,Dec 2021 - Apr 2022,mina-n-w-s,#iti,
ain shams university faculty of engineering,"bachelor's degree, computer software engineering",2013 - 2018,mina-nasrallah-a21b30122,ain shams,computer
ain shams university,"bachelor's degree, computer software engineering",2016 - 2021,mina-talaat-03116020b,ain shams,computer
the german university in cairo,"bachelor of engineering - bs, computer engineering",2014 - 2019,mirette-maged-aa326a17a,guc,computer
benha university,"bachelor's degree, computer science",2018 - Jul 2022,mmelzoka,benha,computer
alexandria university,2016 - 2021,,mmelzoka,alexandria,
ain shams university,"bachelor's degree, computer engineering and systems",2014 - 2019,mo-men-ahmed,ain shams,computer
information technology institute (iti),full-stack web development using python,Aug 2021 - Nov 2021,moaazmoustafa,#iti,
harvard university,"cs50, computer science",Jul 2021 - Dec 2021,moaazmoustafa,,computer
helwan university cairo,"bachelor's degree, mechanical engineering",2013 - 2018,moabdelmegeed,cairo,mechanical
mohamed tarek,"diploma, embedded systems",2019 - 2019,moabdelmegeed,,
helwan university cairo,"bachelor's degree, computer science",2012 - 2016,moamen-hossam,cairo,computer
future academy - higher future institute for specialized technological studies,"bachelor's degree, computer science",2014 - 2018,moamen-ihab-elsayed,future,computer
ain shams university,"bachelor's degree, computer and information sciences, general",2015 - 2019,moataz-elsakkar,ain shams,computer
alexandria university,"bachelor's degree, computer engineering",2015 - 2020,moataz-mansour-030a371bb,alexandria,computer
london south bank university,"computer science, artificial intelligence",2018 - 2021,moaz-lasheen,,computer
the british university in egypt,"bachelor's degree, computer science",2018 - 2021,moaz-lasheen,,computer
modern sciences and arts university,"bachelor of arts - ba, management science",2015 - Feb 2020,moealy97,,science
cairo university,"bachelor's degree, computer science",2016 - 2020,moeldeeb98,cairo,computer
mansoura university,"bachelor's degree, computer science",2013 - 2017,moelnaggar14,mansoura,computer
information technology institute (iti),data science,2020 - 2021,moemenalaa97,#iti,computer
alexandria university,"student, electrical, electronics and communications engineering",2015 - 2020,moemenalaa97,alexandria,electronic
tanta university,"bachelor's degree computer engineering and automatic control, computer science",Jul 2021,moh-khattab,tanta,computer
tanta university,engineering,Jul 2021,moh-khattab,tanta,engineering
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2015 - 2020,mohab-hossam-398487127,alexandria,electronic
collège saint-marc,"high-school degree, mathematics",2012 - 2015,mohab-hossam-398487127,,
helwan university cairo,"bachelor's degree, computer science",2013 - 2017,mohab-mohamed-6804aa139,cairo,computer
suez canal university,bachelor of information systems,2013 - 2017,mohabelhawawshy,suez canal,computer
zewail city of science and technology,"bachelor of science - bs, communication and information engineering",Sep 2016 - Jul 2021,mohamed-a-mahrous,zewail city,computer
zagazig university,"bachelor's degree, electrical, electronics and communications engineering",2008 - 2013,mohamed-abdelhakeem-824681ab,zagazig,electronic
alexandria university,"bachelor's degree, computer software engineering",2011 - 2016,mohamed-abdelmaksoud-sw-engineer,alexandria,computer
cairo university,"bachelor's degree, computer",2018 - 2022,mohamed-adel-973621135,cairo,computer
ain shams university,"bachelor's degree, computer and information science",2017 - 2021,mohamed-adel769,ain shams,computer
information technology institute (iti),artificial intelligence 9 months diploma (intake 1),Apr 2021 - Jan 2022,mohamed-ahmed-salman-147816124,#iti,computer
cairo university,"bachelor's degree, electrical electronics and communications engineering",2015 - 2020,mohamed-ahmed-salman-147816124,cairo,electronic
ain shams university,"bachelor's, computer science",2015 - 2020,mohamed-ashraf-07340212a,ain shams,computer
zagazig university,"good, accounting",2012 - 2016,mohamed-atef-2020,zagazig,commerce
ain shams university,"bachelor’s degree, computer and systems engineering",2006 - 2011,mohamed-atef-a89a8b33,ain shams,computer
lycée la liberté héliopolis,1994 - 2006,,mohamed-atef-a89a8b33,,
cairo university,"bachelor of applied science - basc, electrical, electronics and communications engineering",2013 - 2018,mohamed-ayman-843920116,cairo,electronic
assiut university,"computers and control systems engineering, computer engineering",2013 - 2018,mohamed-dalam,,computer
modern academy maadi,"bachelor's degree, computer science",2015 - 2019,mohamed-effat,modern academy,computer
information technology institute (iti),artificial intelligence,Apr 2021 - Jan 2022,mohamed-el-ghannam-03230814a,#iti,computer
"faculty of petroleum and mining engineering, suez university","bachelor's degree, petroleum engineering",Jul 2013 - Jul 2018,mohamed-el-ghannam-03230814a,,petroleum
faculty of engineering mansoura university,"bachelor's degree, computer science",2012 - 2017,mohamed-el-mansy-833975165,mansoura,computer
kafr el-sheikh university,"bachelor's degree, computer engineering",2016 - 2021,mohamed-el-saeed-3a1130224,,computer
"faculty of petroleum and mining engineering, suez university","good, mining and mineral engineering",2013 - 2018,mohamed-elbeih-765a36b8,,petroleum
faculty of computers and information,"bachelor's degree, computer science",2003 - 2008,mohamed-elkayal-a6535b34,,computer
information technology institute (iti),"bachelor's degree, computer programming",2018 - 2020,mohamed-elsayed-699044173,#iti,computer
cairo university,"bachelor's degree, computer science",2019 - 2023,mohamed-emad-2572791a9,cairo,computer
alexandria university,"bachelor's degree, computer and communications engineering",2016 - 2021,mohamed-gaballah-843a97197,alexandria,computer
kth royal institute of technology,"master of science - ms, msc software engineering and distributed systems - data science track",2017 - 2019,mohamed-gabr-a306971b1,institute,computer
aalborg university,"bsc electrical and electronics engineering, electrical and electronics engineering (exchange student)",Sep 2016 - Jun 2017,mohamed-gabr-a306971b1,,electronic
information technology institute (iti),software testing &amp; quality assurance,2017 - 2018,mohamed-gamal-el-din-90b83958,#iti,computer
higher technological institute,"bachelor's degree, engineering",2008 - 2013,mohamed-gamal-el-din-90b83958,institute,engineering
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2013 - 2017,mohamed-gamal94,alexandria,electronic
bsc civil engineering alexandria university,diploma,1986 - 1991,mohamed-hammad-a720a622,alexandria,civil
ain shams university computer science and information system,2015 - 2019,,mohamed-hassan-0a2370147,ain shams,computer
ain shams university,"bachelor's degree, computer software engineering",Jan 2016 - Jun 2021,mohamed-hassan-85bab6196,ain shams,computer
ain shams university,"bachelor's degree, computer engineering",2017 - 2021,mohamed-hassan-85bab6196,ain shams,computer
minufiya university,"bachelor of engineering , electrical and computer engineering",2014 - 2019,mohamed-ibrahim-elgarhy,minufiya,computer
the german university in cairo,"undergraduate, computer science",2016 - 2021,mohamed-islam-760b4a183,guc,computer
technical university of munich,"master of science - ms, data engineering and analytics",Oct 2022,mohamed-islam-760b4a183,munich,computer
ain shams university,"master's degree, machine learning and data mining",Oct 2021 - Aug 2024,mohamed-khamis-10,ain shams,computer
ain shams university,"bachelor's degree, computer science",2014 - 2018,mohamed-khamis-10,ain shams,computer
alexandria university,"bachelor's degree, communication and electronics engineering",Sep 2016 - Aug 2021,mohamed-monem-abo-elela-9a4a44223,alexandria,electronic
computer science - sadat academy,"bachelor's degree, computer science",2003 - 2007,mohamed-mostafa-abdallah-76956828,,computer
faculty of electronic engineering,"bachelor of engineering (beng), engineering and computer science",2005 - 2010,mohamed-mrzok-52722b74,,computer
georgia institute of technology,"master of science - ms, computer science",2020 - 2023,mohamed-osama-eliwa-2139b7163,institute,computer
cairo university,"bachelor's degree, computer engineering",2014 - 2019,mohamed-osama-eliwa-2139b7163,cairo,computer
modern narmer,secondary school,2000 - 2014,mohamed-osama-eliwa-2139b7163,,
beni-suef university,faculty of computer and artificial intelligence,,mohamed-ragab-programmer,,computer
information technology institute (iti),software testing and quality assurance,Apr 2022 - Aug 2022,mohamed-saidd,#iti,computer
alexandria university,"graduated, chemistry and physics",Sep 2012 - Feb 2017,mohamed-saidd,alexandria,science
benha university,"bachelor of computer science, computer science",2013 - 2017,mohamed-samir-salem,benha,computer
helwan university cairo,"bachelor's degree, computer software engineering",2015 - 2019,mohamed-samy-08531a16a,cairo,computer
cairo university,"master's degree, computer engineering",Oct 2022 - Sep 2024,mohamed-shawky,cairo,computer
cairo university,"bachelor's degree, computer engineering",Sep 2016 - Jul 2021,mohamed-shawky,cairo,computer
nile university - nu,"diploma, data science and big data diploma",2019 - 2020,mohamed-sief-74006115,nile,computer
cairo university,"bachelor of computers and information, major : infromation system minor: computer science",2005 - 2009,mohamed-sief-74006115,cairo,computer
shoubra faculty of engineering benha university,"bachelor's degree, computer engineering",2014 - 2018,mohamed-sobhy-074311a8,benha,computer
ain shams university,"graduted, computer science",2018 - 2021,mohamed-taher-486811191,ain shams,computer
ain shams university,"student, computer engineering",2016 - 2021,mohamed-talaat-1a4521155,ain shams,computer
ain shams university,2012 - 2017,,mohamed-thabet-8b205710b,ain shams,
ain shams university,computer science,2015 - 2019,mohamed-waheed-2074a4213,ain shams,computer
ain shams university,"bachelor's degree, computer science",2015 - 2019,mohamed-waheed-2074a4213,ain shams,computer
london south bank university,"bachelor's degree, computer software engineering",2017 - 2020,mohamed-zidan-a8003a167,,computer
the british university in egypt,2016 - 2020,,mohamed-zidan-a8003a167,,
benha university,"bachelor's degree, textile sciences and engineering",2015 - 2020,mohamedalaa4j,benha,engineering
alexandria university,"bachelor's degree, computer and communication engineering",2016 - 2021,mohamedalharouni,alexandria,computer
alexandria university,"bachelor's degree, electrical engineering",2014 - 2019,mohamedashraf170,alexandria,power
harvard university,"cs50x, computer science",Jan 2021 - Apr 2021,mohamedawwad-sd,,computer
helwan university cairo,"bachelor's degree, geographic information science and cartography",2013 - 2016,mohamedawwad-sd,cairo,computer
information technology institute (iti),"master of technology - mtech, full stack development using mearn",Nov 2021 - Mar 2022,mohameddarwesh,#iti,computer
route academy,"diploma of education, full-stack development using mern",Oct 2021 - Jul 2022,mohameddarwesh,,
portsaid university,"bachelor's degree of specific education, computer science",Jul 2017 - Jul 2020,mohameddarwesh,,computer
delta university for science and technology,"bachelor degree, civil engineering",2015 - 2021,mohameddorgham,delta,civil
benha university,"bachelor's degree, computer science",Sep 2019 - Jan 2023,mohamedehabde,benha,computer
suez canal university,"bachelor's degree, computer science",2014 - 2017,mohamedelbastawesy,suez canal,computer
beni-suef university,"bachelor's degree, computer science",2013 - 2017,mohamedglal58,,computer
minufiya university,"bachelor of computer science, computer science",Sep 2017 - Sep 2021,mohamedhashem,minufiya,computer
el shorouk academy,"bachelor of management &amp; information system, computer/information technology administration and management",2016 - May 2020,mohamedmagdymostafa,el shorouk,computer
kafr el-sheikh university,"student, computer science",2018 - 2022,mohamedsadek88,,computer
el shorouk academy,"bachelor's degree, managment information system",2013 - 2017,mohamedsalah4,el shorouk,computer
zagazig university,"b.sc, electrical engineering, computer systems engineering",2001 - 2005,mohamedtaman,zagazig,computer
ain shams university,"bachelor's degree, computer science",2011 - 2016,mohammad-ismail-b6771560,ain shams,computer
cairo university,"bachelor's degree, information technology",2009 - 2013,mohammad-shaker-84117668,cairo,computer
khaled ibn el-waleed,"92.73 %, secondary education and teaching",2006 - 2009,mohammad-shaker-84117668,,
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",Sep 2017 - Jul 2022,mohammad1722,alexandria,electronic
assiut university,"bachelor's degree, computers and information",2014 - 2018,mohammed-abdullah-52b700121,,computer
alexandria university,"bachelor's degree, computer engineering",2016 - 2021,mohammed-akl-8567a61a7,alexandria,computer
"arab academy for science, technology and maritime transport","master of business administration (mba), project management",2014 - 2016,mohammed-al-ammary-0b591763,,commerce
national telecommunication institute (nti),"modern wireless networks internship, computer systems networking and telecommunications",2013 - 2013,mohammed-al-ammary-0b591763,institute,computer
mansoura university,"bachelor's degree, communication and information engineering (c.i.e)",2007 - 2012,mohammed-al-ammary-0b591763,mansoura,computer
cairo university,"bachelor of engineering - be, computer engineering",Jul 2015 - Oct 2021,mohammed-ameen-7bbb5a198,cairo,computer
cairo university,"bachelor's degree, management information systems, general",2011 - 2015,mohammed-kelany-171486165,cairo,computer
helwan university cairo,"bachelor's degree, computer science",2018,mohammed-raafat,cairo,computer
tanta university,"bachelor's degree, mass communication/media studies",2020 - 2024,mohammed-rammah-2b6358214,tanta,electronic
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",Sep 2013 - Jul 2018,mohammed-saad-073772155,alexandria,electronic
ain shams university,"bachelor of commerce (b.com.), accounting and finance",2009 - 2014,mohammed-salah-093a85a7,ain shams,commerce
information technology institute (iti),game development,2019 - 2019,mohammedalii,#iti,
acc virtual reality diploma,"american center, u.s. embassy cairo &amp; 412labs, vr / ar",2020,mohammedalii,,
assiut university,"bachelor's degree, computer science",2011 - 2016,mohammedalii,,computer
cairo university,"bachelor's degree, computer engineering",2000 - 2005,mohammedhossam,cairo,computer
mansoura university,"bachelor of engineering - bsc, electronics and communication engineering",2013 - 2018,mohsenmoawad,mansoura,electronic
university of ottawa,"master of engineering electrical and computer engineering, artificial intelligence and data science",May 2021 - Feb 2022,mona-mamdouh,ottawa,computer
zagazig university,"bachelor's degree, computer science",2016 - 2020,mona-mamdouh,zagazig,computer
"faculty of computer and information science, ain shams university","good, computer science",2003 - 2007,mona-shafiq-pmp-itil-68b435b3,ain shams,computer
ain shams university,"bachelor of computer sciencs, computer science",2016 - 2020,monamustafa7,ain shams,computer
amit,"diploma of full stack , computer science",Jan 2021 - Jun 2021,monamustafa7,,computer
eastern mediterranean university,"bachelor's degree with honor student accredited by abet accreditation , computer engineering",2015 - 2018,moqbel-elseaedy-92b2a913b,,computer
cairo university,electronics and communications engineering,2011 - 2014,moqbel-elseaedy-92b2a913b,cairo,electronic
ain shams university,"bachelor of computer science - bcs, computer science",Sep 2017 - Aug 2021,morsi-mohsen-1a2a32171,ain shams,computer
faculty of computers and information - cairo university,"bachelor's degree, computer science",2011 - 2016,mosaosama,cairo,computer
the german university in cairo,"bachelor of engineering - be, computer science",2017 - 2022,mostafa-abdelnasser,guc,computer
german international university in berlin,"semester abroad, computer science",2020 - 2020,mostafa-abdelnasser,guc,computer
eaeat academy,"bachelor's degree, mechatronics, robotics, and automation engineering",2015 - 2020,mostafa-ahmed-moh,,mechatronic
ain shams university,"bachelor's degree, computer engineering",2013 - 2018,mostafa-alaa-gharieb,ain shams,computer
el rowad college,general secondary,2002 - 2013,mostafa-alaa-gharieb,,
minufiya university,"bachelor, computer science",2015 - 2019,mostafa-ayman-261949155,minufiya,computer
aalto university,"master's degree, data science",2020 - 2021,mostafa-eissa-16356b12a,,computer
kth royal institute of technology,"master's degree, data science",2019 - 2020,mostafa-eissa-16356b12a,institute,computer
cairo university,"bachelor of science (b.sc.), computer engineering",2007 - 2012,mostafa-eissa-16356b12a,cairo,computer
cairo university,"bachelor's degree, computer engineering",2013 - 2018,mostafa-gamal-badawy,cairo,computer
information technology institute (iti),"9-month professional diploma, cloud platform development",Nov 2021 - Jun 2022,mostafa-hassan-097,#iti,
obour institutes,"bachelor's degree, computer science",2015 - 2019,mostafa-hassan-097,institute,computer
ain shams university,"bachelor's degree, computer science",2016 - 2020,mostafa-hassan-backend-dev,ain shams,computer
cairo university,"bachelor of engineering - be, computer engineering",2016 - 2021,mostafa-hazem-omar,cairo,computer
mansoura university,"diploma, information security",2017 - 2018,mostafa-kashwaa,mansoura,computer
mansoura university,"master's degree, information security",2019,mostafa-kashwaa,mansoura,computer
mcit,mobile application development,2013 - 2014,mostafa-kashwaa,,
minia university,"bachelor's degree, computer science",Sep 2014 - Jun 2018,mostafa-khalid-0129b4149,,computer
benha university,"bachelor of engineering - be, communication and electronics",2013 - 2018,mostafa-mahmoud-423821205,benha,electronic
information technology institute (iti),"9-month diploma, open source applications development",2018 - 2019,mostafa-mahmoud-72a56b168,#iti,
tanta university,"bachelor of science - bs, computer science",2014 - 2018,mostafa-mahmoud-72a56b168,tanta,computer
cairo university,"bachelor's degree, computer engineering",2007 - 2012,mostafa-nassar-57a84062,cairo,computer
ain shams university,"bachelor's degree, computer science",2011 - 2015,mostafa-saad-699b3631,ain shams,computer
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2014 - 2019,mostafa-shahin13,alexandria,electronic
minufiya university,"bachelors, computer science",2009 - 2013,mostafa-teba-4b7a4318a,minufiya,computer
cairo university,"bachelor's degree, computer engineering",2018 - 2023,mostafa-wael,cairo,computer
zagazig university,"bachelor of computer science, computer science",2008 - 2011,mostafaarefaat,zagazig,computer
cairo university,"bachelor of computer science, information systems",2003 - 2007,mostafakandil86,cairo,computer
cairo university,"bachelor of engineering - be, electrical and electronics engineering",2017 - 2022,mostafakassem1,cairo,electronic
